filename,Language,text_english
00001.wav,Chinese,"In the winter of 2021, I went back to my hometown to visit my grandmother. He was not in good health that year and lived in a small town hospital not far from the village. The winter wind was particularly biting, and I carried a bag of fruits that he liked to eat and walked into the hospital. When my grandmother saw me, a long lost smile appeared on her face. She said, 'How did you know that what I wanted the most was oranges?'? We talked a lot in the ward, and I asked him how his treatment was? But he always changes the topic and talks about recent events at home, such as the newly built house and the few fruit trees planted. I can see that he is trying hard to show strength, but I can also feel the exhaustion that cannot be hidden in his eyes. In the afternoon, I pushed his wheelchair to the garden behind the hospital. The winter sunshine was light, but it made people feel warm. Grandma quietly looked at the withered yellow leaves and suddenly asked me, do you think time passes too quickly? I didn't answer. Because I also have the same feeling. He began to tell stories from his youth, about how he carried my mother over a mountain to find a job, and how he managed to farm and support his family during the most difficult times. As I listened to these stories, I suddenly felt very guilty. I felt guilty that I always felt busy with work and didn't have time to come back to see him, but she never complained that I didn't come home often. When I left the hospital, I turned around and looked at her in the garden. The sunlight was shining on her white hair, and I thought to myself that no matter how busy I was in the future, I would come back to see her often because companionship was what she needed most."
00002.wav,Chinese,"I finally realized my dream of traveling to Yunnan during the summer vacation of 2022. The beautiful scenery and unique culture of Yunnan have always been my dream, and this trip has deeply impressed me with its charm. The most unforgettable day for me was riding by the Erhai Lake. The feeling of freedom and tranquility is still unforgettable to this day. In the early morning, I rented a bicycle from Dali Old City and rode along the lakeside path of Erhai Lake. The water of Erhai Lake was as calm as a mirror in the early morning, reflecting the surrounding green mountains and the white clouds in the sky. The breeze gently blew, the lake began to ripple, and the sun shone on the water. The whole picture seemed to come out of the painting. I take photos while riding my bike, occasionally stopping to appreciate the beautiful scenery in front of me. Along the way, I met many tourists who rode the same bike, some from the south and some from abroad. Everyone was impressed by the peaceful beauty of Erhai Lake. At noon, I stopped at a small restaurant by the lake and tasted authentic Yunnan cuisine, especially the local roasted milk fan. It was crispy on the outside and tender on the inside, with a strong milk aroma that left an unforgettable taste. In the afternoon, I continued cycling and enjoyed different angles of Erhai Lake along the way. In some places, I could see fishing boats slowly gliding over the lake, while in others, I was surrounded by rice paddies and small mountain villages. Every scenery was unforgettable. In the evening, I sat down at the observation deck by the Erhai Lake. The sunset dyed the entire lake red, and the scene of fishing boats returning home was quiet and beautiful. I felt an unprecedented sense of tranquility and satisfaction. This trip not only allowed me to see the beauty of Erhai Lake, but also taught me how to find inner peace in life."
00003.wav,Chinese,"This is my story. My journey begins with the famous Forbidden City, which is the largest and most well preserved imperial palace complex in the world. When I stepped into the huge red palace gate, it was as if I had traveled through history. The exquisite carvings, magnificent roofs, and vast courtyards showcased the grandeur of the Ming and Qing dynasties. When visiting the Hall of Supreme Harmony and the Imperial Garden, I was fascinated by the architectural craftsmanship and rich history here. Then I went to the Bathing Field section of the Great Wall, which is not far from the city center. This section of the Great Wall is famous for its magnificent scenery and fewer tourists. Although the climbing process was arduous, standing at the top and gazing at the stretching mountains and the long Great Wall, all exhaustion vanished into thin air. Standing on this ancient defense project, I felt a shock that lasted for thousands of years. Returning to the city center, I visited Tiananmen Square, which is one of the largest squares in the world. The magnificent scale of the square is breathtaking, and I spent some time contemplating its cultural and historical significance. Not far away, I also attended and visited the Temple of Heaven, a masterpiece of Ming Dynasty architecture. The circular Hall of Prayer for Good Harvests is both magnificent and symbolizes the concept of unity between heaven and man. The cuisine in Beijing is equally impressive. I tasted the famous Beijing roast duck, a delicacy that has been passed down for a hundred years and left a lasting impression on me. The chef skillfully sliced it, and the crispy duck skin and tender duck meat paired it with pancakes and sweet sauce, making it a feast for the taste buds. At night, I strolled through the bustling alleys, which showcased the traditional side of Beijing. The snack stalls and specialty shops on the streets of Xiaoyuanzi made me feel the authentic and leisurely life of the locals. Beijing is a city full of contrasts, where ancient traditions and modern innovation intertwine. Every moment is like a wonderful story, and I am fortunate to be a part of it."
00004.wav,Chinese,"In 2020, I registered for the school's organized study tour in the United States. I participated in this trip with two other classmates and many teachers and classmates. On January 15, we arrived in New York, the United States, and the rest of the trip was by bus. I had a very rich breakfast with my classmates. It was a Chinese restaurant. Breakfast included dumplings, dumplings, Congee, and Mantou that I was familiar with. Then I took the bus to see the American scenery along the bus. I saw a Starbucks in the United States and a Gothic style building in the car, and I even took photos to commemorate it. Afterwards, my classmates and I came to Columbia University for a tour. The university square is very spacious, with sunlight shining on the lawn, which is very pleasing to the eye. It was winter at the time, so we walked around Columbia University wearing down jackets. I saw the unique buildings of different colleges, including the Philosophy and Law schools. I also saw pigeons walking on the ground, which was a very harmonious and beautiful scene. The statue of Athena, the goddess of wisdom at Columbia University, is very dignified and solemn. After the visit to the university, my classmates, teachers, and I took a group photo in front of this statue as a memento. Afterwards, we took a bus to Wall Street and I touched the famous golden bull statue. I heard that touching its horns can bring me wealth, which is also a beautiful symbolism. I also took a photo in front of this golden bull statue as a souvenir. Afterwards, I took a cruise with my team to observe the Statue of Liberty. If I hadn't seen it with my own eyes, I wouldn't have felt its magnificence and beauty. Indeed, the feeling that pictures give people is completely different from what they see with their own eyes. Seeing this girl on site was truly spectacular. He held the torch high in the sunlight, as if fighting for freedom. Uh huh. I stayed in the United States for a total of 7 days before returning home. It was really an exciting and meaningful trip, I think."
00005.wav,Chinese,"Today, I would like to share with you my trip to Shaanxi last year. As I stepped onto this ancient land, my heart was filled with anticipation and awe. My first stop on my trip to Shaanxi was Xi'an, a thousand year old ancient capital that seems to narrate the vicissitudes of history. Walking on the walls of the ancient city, I feel like I can hear the echoes of history, and every brick and stone carries the weight of history. Walking into the Terra Cotta Warriors Museum, I felt the hegemony and glory of Qin Shihuang's unification of the six countries with the rows of lifelike terracotta warriors. Then I arrived at Tsinghua Palace, which was once a witness to the love between Emperor Xuanzong of Tang and Yang Guifei. Walking by the hot springs, I felt as if I could see the scene of them playing here back then and feel the romance that spans thousands of years. Of course, Shaanxi cuisine is also not to be missed. A bowl of hot Pita bread soaked in Lamb Soup let me taste the local authentic flavor. The rich soup, fresh mutton, and crispy modules make me have endless aftertaste. This trip to Shaanxi made me deeply feel the breadth and depth of Chinese civilization. From the ancient city walls to the spectacular Terra Cotta Warriors, from the romantic Qinghua Palace to the delicious Pita bread soaked in Lamb Soup, every place in the United States of Shaanxi makes me linger. In this land of Shanxi, not only did I appreciate the weight of history, but I also felt the charm of Chinese culture. I believe that everyone who comes to Shaanxi will be impressed by the charm here. Every person who comes to Shaanxi will once again hope to come to this historic city within their lifetime."
00006.wav,Chinese,"I have visited Nanjing several times within a year, it is truly a beautiful city. My best friend went to school there. We ate in the snack street outside the school gate, walked between the Yihe Road, and rode under the city wall set off by wutong trees. Nanjing satisfied me with its scenery, climate, and culture. For someone who grew up in the north, Nanjing is the most beautiful image of a southern city in their imagination. Uh huh. Wandering on Yihe Road in the most beautiful season, the sunshine shines through the gaps of the leaves on a sunny day, casting mottled light and shadow on the stone bricks. These buildings come from the period of the Republic of China, just like the endless wutong trees on the road, they really deserve the reputation of half of the history of the Republic of China along the Yi River. Nanjing is a city that connects ancient and modern times, and its profound cultural heritage has been well preserved. On its side, towering skyscrapers rise during the day and on the white ground, creating a beautiful modern urban skyline."
00007.wav,Chinese,"Last autumn during the National Day holiday, I went to Hangzhou to interview a friend I hadn't seen in many years. This trip was very special for me because Hangzhou is a place I've always wanted to go to but haven't. And this friend from Hangzhou is my high school classmate. Since we started college, we have been busy on our own and haven't seen each other again. That morning, as I sat outside the high-speed train window in Hangzhou, the scenery gradually changed from a bustling city to lush mountains and clear waters. Along the way, I was full of anticipation. When I arrived in Hangzhou, my friend picked me up at the station. At the moment we met, we both smiled, as if we were back in high school. He took me to the old street he recommended, which is a very quiet pedestrian street lined with old houses and small shops. He said it preserves his memories of two years in college and is one of his favorite places. Let's first make the sweet and fragrant osmanthus lotus root powder of Heliwan hot on the street, and then feel the warmth of home. I slowly walked on the old street and looked at the small stalls selling handicrafts. My friend told me a story about what happened during his two years of college here. He said he didn't always come when he was sad or happy. This pedestrian street is for relaxing and leisure activities. I looked at his smile as if I could see what he looked like on this street at the time. In the afternoon, we went to West Lake, and the willows by the lake had already turned slightly yellow. The lake was shimmering with golden light in the sunlight. We rented a small boat and slid slowly to the center of the lake, where the wind was light and cool. It seemed like we had talked a lot about his college life and hobbies, as well as his plans for the future. We also talked about the days in high school when we stayed up late together and went out to play with our backs. Time passed quickly, as the sunset gradually set and the lake was dyed orange red. That night, we had dinner at a small restaurant by the lake. Although it was just a home cooked meal, it was particularly delicious with the company of old friends. After dinner, we took a walk by the lake, watching the distant lights reflecting on the surface of the lake, like countless stars scattered in the water. I took a deep breath and felt that the tranquility and beauty of this moment would forever remain in my memory."
00008.wav,Chinese,"On a sunny weekend, I decided to visit my childhood friend Xiaoyu. Ah, it's been several years since we last met, and my heart is filled with anticipation and tension. Well, maybe it's also a kind of longing for him. When I walked into his house, I almost felt the atmosphere of playing together back then. Um, our people here are in charge. Friends who have been playing like this since childhood are called hairdressers. Ah, this feeling is very wonderful. Hmm, it's like looking at each other since childhood, watching each other grow up together. And this photo on the wall still captures countless happy moments we had back then. Um, then I saw Xiaoyu walking out of his bedroom. We smiled at each other, and for some reason, our past happiness surged in our hearts, but at the same time, there was also a hint of melancholy mixed in. We have indeed grown up and can't go back. Well, things are no longer that simple now. We sat on the balcony chatting about childhood anecdotes. He mentioned that we used to catch fish by the small river together, and the sound of cicadas echoed in the summer afternoon. I couldn't help but laugh out loud, but at that moment, I felt a little sad again. Time had passed, and we could never go back to that carefree age. We now had our own studies and had to work hard for our own things. Well, the people and things we come into contact with now are also different, and I feel that there may be a sad and thick barrier between us. I think it's a sad thing, but there's nothing we can do about it. As I bid farewell, I suddenly felt a complex emotion in my heart, both the joy of reunion and the nostalgia for the past. This visit made me understand that although time has changed everything, those beautiful memories still remain in my heart and become an indelible part of my life."
00009.wav,Chinese,"Last year, I went on a trip to Venice, Italy, which was my dream trip. Finally, I had the opportunity to personally experience the charm of this water city. I embarked on this journey with a few friends, and when we first arrived in this city, we were deeply impressed by the scenery before us. The streets of Venice are not traditional streets, but winding waterways that recreate the ancient architecture surrounding them, like a scroll into history. We eagerly boarded the traditional Venetian small boat, the Gondola, and slowly sailed through the waterway. The boatman skillfully slid his feet, leading us through the complex of buildings with a strong sense of history. The sunset reflected on the water, adding a few golden rays to the surrounding scenery. The entire city appeared peaceful and mysterious. In addition to the tour of Dogongdora, we also visited St. Mark's Square, which is one of the most famous squares in Venice. The square was bustling with people, and flocks of pigeons flew in the air, occasionally landing on the ground, attracting tourists to feed them. Surrounding the square are magnificent buildings, with the golden dome of St. Mark's Church shining brightly in the sunlight. At the Church of Santa Maria del Fiore, on the other side and in the square, we met an artist who painted portraits of tourists. I asked him to paint a portrait for me, and the artist smiled and gently touched me, beginning to depict it in detail. Painting is filled with the aroma of coffee and melodious music. I am quietly waiting, and after painting, the artist hands me the portrait. The me in the painting looks more vivid and interesting than the real me. This encounter left a deep impression on me. In this historic city, all moments seem to carry a mysterious color, especially those unexpected interludes that make travel more real and unforgettable."
00010.wav,Chinese,"In the autumn of 2021, I visited a long lost friend named Xiao Jun. Xiaojuan was my best friend during my college years, and we spent many wonderful times together. At that time, we often stayed up late together to review, discuss our life ideals, and dream of exploring the world together after graduation. However, after graduation, we embarked on different paths and gradually lost touch. Every time I think of him, I feel a bit regretful, but we all know that life always takes people further and further away. Until one day, I received a message from his family that Xiaojuan was seriously ill and in a very bad condition. Upon hearing this news, my heart was filled with helplessness and anxiety, and I decided to go see him as soon as possible. When I arrived at Xiaojun's house, I saw him lying on the hospital bed, so thin that I could hardly recognize him. Although he forced a smile, there was a deep exhaustion in his eyes. We sat in front of his hospital bed, chatting about the time we spent together before. He gently said that he had been waiting for me to come and see him because he knew I wouldn't leave him behind. Nike, I feel like there's a stone pressing down on my heart, unable to breathe. Xiao Jun handed me a notebook and said it was written by him during this period, which recorded his memories of the past, our friendship, and his helplessness towards the future. He said that if one day he left on his own, he hoped that I could remember him and also remember the beauty of the past. Upon hearing these words, I could hardly control my tears, but I could only try my best to appear strong and whisper that you would definitely get better. That night, we sat side by side in the yard, listening to the distant bell and wind. The air was a bit cold, but he still didn't want me to leave and held me back. I promised him that I wouldn't come back to see him again next time. However, when we said goodbye, I had no chance to say those words to him that you must be in such a miserable situation again. A few months later, Xiaozhen passed away. When I received the news, my heart was empty, as if I had lost a friend who could never be added back. I opened the notebook he left for me and read those words, as if everything was so real and yet so distant with him by my side. Every time I see those agreements about him, my heart surges with pain. Perhaps we always learn to cherish after losing."
